DATAFLOW,LAST UPDATE,freq,age,unit,sex,indic_em,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,1995,57.6,e
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,1996,55.8,e
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,1997,55.1,e
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,1998,54.7,e
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,1999,54.7,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,2000,50.5,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,2001,49.7,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,2002,50.3,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,2003,49.8,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,2004,53.0,b
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,2005,54.1,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,2006,54.1,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,2007,56.0,b
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,2008,56.2,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,2009,56.2,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,2010,54.0,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,2011,54.8,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,2012,55.4,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,2013,55.3,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,2014,55.4,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,2015,54.1,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,2016,54.6,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,2017,53.7,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,2018,53.8,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,2019,52.5,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,AT,2020,52.8,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,BE,1993,32.7,e
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,BE,1994,32.9,e
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,BE,1995,32.5,e
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,BE,1996,32.0,e
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,BE,1997,31.9,e
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,BE,1998,32.1,e
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,BE,1999,32.8,b
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,BE,2000,31.8,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,BE,2001,31.7,b
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,BE,2002,32.4,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,BE,2003,31.4,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,BE,2004,32.8,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,BE,2005,32.3,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,BE,2006,31.9,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,BE,2007,31.6,
ESTAT:LFSI_EMP_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_POP,F,ACT,BE,2008,30.8,
